1 González Sofia 47 W 13th St, New York, NY 10011, USA 
64 Bianchi Karina 4 Washington Pl, New York, NY 10003, USA 
65 Luna Virginia 101 Johnson St, Brooklyn, NY 11201, USA 
66 Correa Silvina 101 Johnson St, Brooklyn, NY 11201, USA 
67 Ferreyra Milena 140 E 14th St, New York, NY 10003, USA 
68 Navarro Nerea 140 E 14th St, New York, NY 10003, USA 
69 Quiroga macarena 26 Washington Pl, New York, NY 10003, USA 
70 Colombo Gisela 26 Washington Pl, New York, NY 10003, USA 
71 Cohen carla 32 Washington Pl, New York, NY 10003, USA 
72 Pereyra oriana 32 Washington Pl, New York, NY 10003, USA 
73 Vera Jessica 44 W 4th St, New York, NY 10012, USA 
74 Lorenzo Cristina 44 W 4th St, New York, NY 10012, USA 
75 Gil Lucy 50 Washington Square S, New York, NY 10012, USA 
76 Santos Morena 50 Washington Square S, New York, NY 10012, USA 
77 Delgado Angela 246 Greene St, New York, NY 10003, USA 
78 Godoy Vanessa 246 Greene St, New York, NY 10003, USA 
79 Rivas Teresa 60 Washington Square S, New York, NY 10012, USA 
80 Rivero Sofi 60 Washington Square S, New York, NY 10012, USA 
81 Gallo Maria Constanza 16 Washington Mews, New York, NY 10003, USA 
82 Peralta Jimena 16 Washington Mews, New York, NY 10003, USA 
83 Soto Sheila 80 Lafayette St, New York, NY 10013, USA 
84 Figueroa Iara 80 Lafayette St, New York, NY 10013, USA 
85 Juárez Angie 550 1st Ave, New York, NY 10016, USA 
86 Marino Elizabeth 550 1st Ave, New York, NY 10016, USA 
87 Ponce yael 33 Washington Square W, New York, NY 10011, USA 
88 Calvo Eugenia 33 Washington Square W, New York, NY 10011, USA 
89 Ibáñez Ayelén 240 Mercer St, New York, NY 10012, USA 
90 Cáceres Ona 240 Mercer St, New York, NY 10012, USA 
91 Carrizo Melisa 4 Washington Pl, New York, NY 10003, USA 
92 Vargas julia 4 Washington Pl, New York, NY 10003, USA 
93 Mendoza Elena 101 Johnson St, Brooklyn, NY 11201, USA 
94 Aguilar Emilia 101 Johnson St, Brooklyn, NY 11201, USA 
95 Ledesma Lourdes 140 E 14th St, New York, NY 10003, USA 
96 Guzmán Melany 140 E 14th St, New York, NY 10003, USA 
97 Soria Malena 26 Washington Pl, New York, NY 10003, USA 
98 Villalba Mariela 26 Washington Pl, New York, NY 10003, USA 
99 Prieto Caro 32 Washington Pl, New York, NY 10003, USA 
100 Maldonado Manfred 32 Washington Pl, New York, NY 10003, USA 
